"","task_Type","Congruency","present_time","num_ratio","SurfAreaRatio","CH_Ratio","ADS_Ratio","Density_Ratio","mean_rt"
"33","Numerical Judgment","Congruent","0.017",0.5,3.7682,0.5074,0.5308,0.523,0.760900590623284
"34","Numerical Judgment","Congruent","0.017",0.5,3.8435,0.4889,0.5204,0.5321,0.199762912
"35","Numerical Judgment","Congruent","0.017",0.5,3.8672,0.4943,0.5172,0.5231,0.354062574666667
"36","Numerical Judgment","Congruent","0.017",0.5,4.1676,0.479,0.4799,0.5009,0.419844326112175
"37","Numerical Judgment","Congruent","0.017",0.5,4.3337,0.4954,0.4615,0.4658,0.671562687708689
"38","Numerical Judgment","Congruent","0.017",0.5,4.3515,0.5051,0.4596,0.455,0.477680639
"39","Numerical Judgment","Congruent","0.017",0.5,4.4278,0.4929,0.4517,0.4582,0.324425452820895
"40","Numerical Judgment","Congruent","0.017",0.5,5.1029,0.4866,0.3919,0.4027,0.627212579
"41","Numerical Judgment","Congruent","0.017",0.5,5.1365,0.496,0.3894,0.3925,0.4107438545
"42","Numerical Judgment","Congruent","0.017",0.5,5.1397,0.4865,0.3891,0.3999,0.893822140352971
"43","Numerical Judgment","Congruent","0.017",0.5,5.1433,0.49,0.3889,0.3968,0.978556876
"44","Numerical Judgment","Congruent","0.017",0.5,5.1985,0.4881,0.3847,0.3941,0.440831178353327
"45","Numerical Judgment","Congruent","0.017",0.5,5.38,0.4998,0.3717,0.3719,0.307085340726248
"46","Numerical Judgment","Congruent","0.017",0.5,5.5582,0.4747,0.3598,0.379,0.460665608
"47","Numerical Judgment","Congruent","0.017",0.5,6.4157,0.4802,0.3117,0.3246,0.43224535
"48","Numerical Judgment","Congruent","0.017",0.5,7.9587,0.4803,0.2513,0.2616,0.577791954
"49","Numerical Judgment","Congruent","0.017",0.5,9.1486,0.476,0.2186,0.2296,0.3930389695
"50","Numerical Judgment","Congruent","0.017",0.6,0.1294,0.5772,0.2156,0.2241,0.523073524872438
"51","Numerical Judgment","Congruent","0.017",0.6,0.1664,0.5719,0.2774,0.291,0.187592621
"52","Numerical Judgment","Congruent","0.017",0.6,0.2188,0.5821,0.3647,0.3759,0.662942395183226
"53","Numerical Judgment","Congruent","0.017",0.6,0.2454,0.5861,0.409,0.4187,1.15743363630379
"54","Numerical Judgment","Congruent","0.017",0.6,0.2775,0.5826,0.4625,0.4763,0.62123537829573
"55","Numerical Judgment","Congruent","0.017",0.6,0.2901,0.5829,0.4836,0.4977,0.4459974318
"56","Numerical Judgment","Congruent","0.017",0.6,0.2904,0.5918,0.484,0.4908,0.382707290572331
"57","Numerical Judgment","Congruent","0.017",0.6,0.2975,0.5806,0.4958,0.5124,0.61840245975
"58","Numerical Judgment","Congruent","0.017",0.6,0.309,0.5891,0.5149,0.5245,1.197693742
"59","Numerical Judgment","Congruent","0.017",0.6,0.3185,0.6001,0.5308,0.5307,0.455046168060991
"60","Numerical Judgment","Congruent","0.017",0.6,0.3224,0.5802,0.5374,0.5557,0.432620947333333
"61","Numerical Judgment","Congruent","0.017",0.6,0.3245,0.5875,0.5408,0.5524,0.931498022
"62","Numerical Judgment","Congruent","0.017",0.6,0.3264,0.578,0.544,0.5646,0.522399563666667
"63","Numerical Judgment","Congruent","0.017",0.6,0.3313,0.5976,0.5522,0.5544,0.631874273668437
"64","Numerical Judgment","Congruent","0.017",0.6,0.3412,0.5973,0.5687,0.5713,0.930473186333333
"65","Numerical Judgment","Congruent","0.017",0.6,0.4009,0.5851,0.6682,0.6853,0.484643331580593
"66","Numerical Judgment","Congruent","0.017",0.6,0.4215,0.5893,0.7026,0.7154,0.523668053
"67","Numerical Judgment","Congruent","0.017",0.6,0.4308,0.5917,0.7181,0.7281,0.47528825225
"68","Numerical Judgment","Congruent","0.017",0.6,0.4503,0.5859,0.7504,0.7685,0.772569148310292
"69","Numerical Judgment","Congruent","0.017",0.6,0.6178,0.5841,0.9712,0.9455,0.683464682269165
"70","Numerical Judgment","Congruent","0.017",0.6,0.6957,0.5761,0.8624,0.828,0.543453954066083
"71","Numerical Judgment","Congruent","0.017",0.6,0.9595,0.5923,0.6253,0.6174,0.5279307246
"72","Numerical Judgment","Congruent","0.017",0.6,1.1126,0.5861,0.6675,0.6521,0.998111271632137
"73","Numerical Judgment","Congruent","0.017",0.6,1.4184,0.6267,0.423,0.4418,0.463393315
"74","Numerical Judgment","Congruent","0.017",0.6,1.5062,0.5929,0.9037,0.893,0.670079822193599
"75","Numerical Judgment","Congruent","0.017",0.6,2.2583,0.5775,0.738,0.7667,0.52564257149042
"76","Numerical Judgment","Congruent","0.017",0.6,2.4527,0.5827,0.6795,0.6997,0.30567677
"77","Numerical Judgment","Congruent","0.017",0.6,2.4818,0.5815,0.6716,0.693,0.677931124
"78","Numerical Judgment","Congruent","0.017",0.6,2.5372,0.594,0.6569,0.6635,0.769564471
"79","Numerical Judgment","Congruent","0.017",0.6,2.5756,0.5789,0.6471,0.6707,0.4280899185
"80","Numerical Judgment","Congruent","0.017",0.6,2.5898,0.5842,0.6435,0.661,0.865196385838939
"81","Numerical Judgment","Congruent","0.017",0.6,2.7105,0.5833,0.6149,0.6325,1.10303068560344
"82","Numerical Judgment","Congruent","0.017",0.6,2.7707,0.5803,0.6015,0.622,0.695813136667795
"83","Numerical Judgment","Congruent","0.017",0.6,2.8268,0.5821,0.5896,0.6078,0.791080664666667
"84","Numerical Judgment","Congruent","0.017",0.6,2.8407,0.5945,0.5867,0.5921,0.246207435480755
"85","Numerical Judgment","Congruent","0.017",0.6,3.0128,0.5761,0.5532,0.5761,0.408952474
"86","Numerical Judgment","Congruent","0.017",0.6,3.0922,0.5826,0.539,0.5551,0.4037586835
"87","Numerical Judgment","Congruent","0.017",0.6,3.1386,0.5836,0.531,0.5459,0.376933269715291
"88","Numerical Judgment","Congruent","0.017",0.6,3.3258,0.597,0.5011,0.5037,0.52155114
"89","Numerical Judgment","Congruent","0.017",0.6,3.332,0.5814,0.5002,0.5162,0.627090771968225
"90","Numerical Judgment","Congruent","0.017",0.6,3.432,0.5935,0.4856,0.4909,0.600339858740654
"91","Numerical Judgment","Congruent","0.017",0.6,3.5205,0.584,0.4734,0.4864,1.0584402325
"92","Numerical Judgment","Congruent","0.017",0.6,3.6176,0.5913,0.4607,0.4675,0.779829297
"93","Numerical Judgment","Congruent","0.017",0.6,3.6814,0.5947,0.4527,0.4568,0.566374377308883
"94","Numerical Judgment","Congruent","0.017",0.6,3.7513,0.5839,0.4443,0.4565,0.298070148333333
"95","Numerical Judgment","Congruent","0.017",0.6,3.8146,0.5845,0.4369,0.4485,0.425136232217245
"96","Numerical Judgment","Congruent","0.017",0.6,4.3678,0.5799,0.3816,0.3948,0.541511572049692
"97","Numerical Judgment","Congruent","0.017",0.6,5.7248,0.5835,0.2911,0.2994,0.639359131675792
"98","Numerical Judgment","Congruent","0.017",0.7,0.1974,0.6693,0.282,0.2949,0.3265980445
"99","Numerical Judgment","Congruent","0.017",0.7,0.2351,0.7278,0.3359,0.3231,0.331991894151223
"100","Numerical Judgment","Congruent","0.017",0.7,0.289,0.6729,0.4128,0.4295,0.452747475635892
"101","Numerical Judgment","Congruent","0.017",0.7,0.369,0.6823,0.5272,0.5409,0.340593497231008
"102","Numerical Judgment","Congruent","0.017",0.7,0.3778,0.6722,0.5397,0.562,0.585905066
"103","Numerical Judgment","Congruent","0.017",0.7,0.401,0.6737,0.5728,0.5952,0.44928851
"104","Numerical Judgment","Congruent","0.017",0.7,0.4214,0.6721,0.602,0.6269,0.536383251204825
"105","Numerical Judgment","Congruent","0.017",0.7,0.4325,0.6708,0.6179,0.6448,0.3204436055
"106","Numerical Judgment","Congruent","0.017",0.7,0.4344,0.6809,0.6206,0.638,0.665984734986416
"107","Numerical Judgment","Congruent","0.017",0.7,0.4358,0.6747,0.6226,0.6459,1.00288339468113
"108","Numerical Judgment","Congruent","0.017",0.7,0.4374,0.686,0.6248,0.6375,0.709916985
"109","Numerical Judgment","Congruent","0.017",0.7,0.4376,0.6723,0.6251,0.6508,0.344959861227588
"110","Numerical Judgment","Congruent","0.017",0.7,0.4414,0.686,0.6306,0.6434,0.378162797503964
"111","Numerical Judgment","Congruent","0.017",0.7,0.4588,0.6783,0.6555,0.6764,0.306692702155224
"112","Numerical Judgment","Congruent","0.017",0.7,0.4613,0.6741,0.659,0.6843,0.68730985775
"113","Numerical Judgment","Congruent","0.017",0.7,0.4619,0.6811,0.6598,0.6782,0.445363118187744
"114","Numerical Judgment","Congruent","0.017",0.7,0.4632,0.6808,0.6617,0.6804,0.561437886431701
"115","Numerical Judgment","Congruent","0.017",0.7,0.4659,0.6807,0.6656,0.6844,0.472707352340499
"116","Numerical Judgment","Congruent","0.017",0.7,0.4699,0.7281,0.6713,0.6454,0.897568622
"117","Numerical Judgment","Congruent","0.017",0.7,0.485,0.6724,0.6929,0.7213,0.311681473
"118","Numerical Judgment","Congruent","0.017",0.7,0.7882,0.6836,0.5518,0.5388,0.358093744833582
"119","Numerical Judgment","Congruent","0.017",0.7,0.8641,0.6772,0.8101,0.7837,0.7033115765
"120","Numerical Judgment","Congruent","0.017",0.7,0.9423,0.6815,0.7428,0.7233,0.317300485144055
"121","Numerical Judgment","Congruent","0.017",0.7,1.6672,0.6773,0.8569,0.8856,0.617503452554956
"122","Numerical Judgment","Congruent","0.017",0.7,1.9249,0.679,0.7422,0.7651,0.69529594
"123","Numerical Judgment","Congruent","0.017",0.7,1.935,0.6784,0.7383,0.7618,0.632244561520294
"124","Numerical Judgment","Congruent","0.017",0.7,1.9407,0.68,0.7361,0.7578,0.507848769188657
"125","Numerical Judgment","Congruent","0.017",0.7,1.996,0.6993,0.7157,0.7164,0.83590517
"126","Numerical Judgment","Congruent","0.017",0.7,2.0703,0.6882,0.69,0.7019,0.75210947350488
"127","Numerical Judgment","Congruent","0.017",0.7,2.0741,0.6729,0.6888,0.7165,0.7833518215
"128","Numerical Judgment","Congruent","0.017",0.7,2.1281,0.6822,0.6713,0.6888,1.142175398
"129","Numerical Judgment","Congruent","0.017",0.7,2.1282,0.673,0.6712,0.6981,0.56592473525
"130","Numerical Judgment","Congruent","0.017",0.7,2.1369,0.6726,0.6685,0.6958,0.458722893
"131","Numerical Judgment","Congruent","0.017",0.7,2.202,0.6813,0.6488,0.6665,0.350196284
"132","Numerical Judgment","Congruent","0.017",0.7,2.2609,0.6756,0.6319,0.6547,0.620764073333333
"133","Numerical Judgment","Congruent","0.017",0.7,2.2714,0.676,0.629,0.6513,0.6795887625
"134","Numerical Judgment","Congruent","0.017",0.7,2.4658,0.6776,0.5794,0.5985,0.430078974
"135","Numerical Judgment","Congruent","0.017",0.7,2.5298,0.6703,0.5647,0.5897,0.348488774669894
"136","Numerical Judgment","Congruent","0.017",0.7,2.7647,0.6778,0.5167,0.5337,0.652141534301376
"137","Numerical Judgment","Congruent","0.017",0.7,3.638,0.6769,0.3927,0.4061,0.52115872975271
"138","Numerical Judgment","Congruent","0.017",0.7,3.7789,0.7295,0.378,0.3628,0.634036720328328
"139","Numerical Judgment","Congruent","0.017",0.7,4.4749,0.679,0.3192,0.3291,0.62239356775
"140","Numerical Judgment","Congruent","0.017",0.8,0.3774,0.769,0.4718,0.4908,0.200064575506531
"141","Numerical Judgment","Congruent","0.017",0.8,0.3853,0.7712,0.4816,0.4996,0.519257533879874
"142","Numerical Judgment","Congruent","0.017",0.8,0.4979,0.7779,0.6224,0.6401,0.328426882399426
"143","Numerical Judgment","Congruent","0.017",0.8,0.5132,0.8329,0.6416,0.6162,0.870184222611257
"144","Numerical Judgment","Congruent","0.017",0.8,0.5465,0.7746,0.6831,0.7056,1.1448012583422
"145","Numerical Judgment","Congruent","0.017",0.8,0.5502,0.7678,0.6877,0.7166,0.721007432666667
"146","Numerical Judgment","Congruent","0.017",0.8,0.5591,0.7726,0.6988,0.7236,1.55169336702807
"147","Numerical Judgment","Congruent","0.017",0.8,0.5785,0.7707,0.7231,0.7506,0.592610991857052
"148","Numerical Judgment","Congruent","0.017",0.8,0.6125,0.7677,0.7656,0.7979,0.3003667955
"149","Numerical Judgment","Congruent","0.017",0.8,0.6173,0.7735,0.7717,0.7981,0.425598494
"150","Numerical Judgment","Congruent","0.017",0.8,0.6408,0.766,0.801,0.8366,0.492008531833333
"151","Numerical Judgment","Congruent","0.017",0.8,0.6737,0.7693,0.8421,0.8756,0.7984056125
"152","Numerical Judgment","Congruent","0.017",0.8,0.6738,0.773,0.8423,0.8717,0.375362272679597
"153","Numerical Judgment","Congruent","0.017",0.8,0.6741,0.77,0.8426,0.8755,0.319507629
"154","Numerical Judgment","Congruent","0.017",0.8,0.6989,0.8357,0.8736,0.8362,0.342886745
"155","Numerical Judgment","Congruent","0.017",0.8,0.7077,0.7796,0.8847,0.9079,0.309754758784643
"156","Numerical Judgment","Congruent","0.017",0.8,0.7141,0.7682,0.8926,0.9296,0.700972931666667
"157","Numerical Judgment","Congruent","0.017",0.8,0.7179,0.7687,0.8974,0.9339,0.340962246537868
"158","Numerical Judgment","Congruent","0.017",0.8,0.7257,0.7752,0.5805,0.5625,0.68628065634215
"159","Numerical Judgment","Congruent","0.017",0.8,0.7414,0.7873,0.9267,0.9416,0.372382359413677
"160","Numerical Judgment","Congruent","0.017",0.8,0.7423,0.8313,0.5939,0.6171,0.292533015
"161","Numerical Judgment","Congruent","0.017",0.8,0.745,0.7764,0.9313,0.9596,0.4353145216
"162","Numerical Judgment","Congruent","0.017",0.8,0.7506,0.8318,0.9383,0.9024,0.4177916545
"163","Numerical Judgment","Congruent","0.017",0.8,0.7712,0.7741,0.617,0.597,1.0416713479709
"164","Numerical Judgment","Congruent","0.017",0.8,0.7899,0.7755,0.9874,0.9817,0.967899155233686
"165","Numerical Judgment","Congruent","0.017",0.8,0.8115,0.7671,0.6492,0.6225,0.394239359333333
"166","Numerical Judgment","Congruent","0.017",0.8,0.8199,0.8359,0.9757,0.9809,0.269848405779451
"167","Numerical Judgment","Congruent","0.017",0.8,1.0072,0.7737,0.7943,0.7681,0.3248120155
"168","Numerical Judgment","Congruent","0.017",0.8,1.172,0.7696,0.9376,0.9019,0.566466922541863
"169","Numerical Judgment","Congruent","0.017",0.8,1.1859,0.8359,0.9488,0.9914,0.383939764333333
"170","Numerical Judgment","Congruent","0.017",0.8,1.1898,0.7674,0.6724,0.645,0.726952259
"171","Numerical Judgment","Congruent","0.017",0.8,1.3098,0.7671,0.9543,0.9953,0.6250858985
"172","Numerical Judgment","Congruent","0.017",0.8,1.3172,0.8315,0.949,0.9131,0.336255380121656
"173","Numerical Judgment","Congruent","0.017",0.8,1.3247,0.8356,0.9436,0.9035,1.38348219448481
"174","Numerical Judgment","Congruent","0.017",0.8,1.34,0.7739,0.9329,0.9644,0.7622358795
"175","Numerical Judgment","Congruent","0.017",0.8,1.4331,0.7751,0.8723,0.9002,0.4803047176
"176","Numerical Judgment","Congruent","0.017",0.8,1.4377,0.7662,0.8694,0.9078,0.456649771945922
"177","Numerical Judgment","Congruent","0.017",0.8,1.4504,0.8343,0.8619,0.8264,0.515490106
"178","Numerical Judgment","Congruent","0.017",0.8,1.5582,0.7692,0.8022,0.8344,0.645701553559729
"179","Numerical Judgment","Congruent","0.017",0.8,1.5683,0.7804,0.797,0.8171,0.574657377253537
"180","Numerical Judgment","Congruent","0.017",0.8,1.7465,0.7709,0.7157,0.7428,1.02154862451449
"181","Numerical Judgment","Congruent","0.017",0.8,1.7605,0.7707,0.71,0.7371,0.708944808139678
"182","Numerical Judgment","Congruent","0.017",0.8,1.7703,0.7731,0.7061,0.7306,0.4012928575
"183","Numerical Judgment","Congruent","0.017",0.8,1.9619,0.772,0.6371,0.6602,0.342605208
"184","Numerical Judgment","Congruent","0.017",0.8,2.0939,0.7726,0.597,0.6182,0.644231312783693
"185","Numerical Judgment","Congruent","0.017",0.8,2.5859,0.765,0.4834,0.5055,0.783427976
"186","Numerical Judgment","Congruent","0.017",0.8,2.7311,0.7714,0.4577,0.4746,0.4963973695
"187","Numerical Judgment","Congruent","0.017",0.8,2.7474,0.7694,0.455,0.473,0.804363211710608
"188","Numerical Judgment","Congruent","0.034",0.5,0.1374,0.49,0.2748,0.2804,0.486870073
"189","Numerical Judgment","Congruent","0.034",0.5,0.1548,0.4878,0.3096,0.3174,0.6701295014
"190","Numerical Judgment","Congruent","0.034",0.5,0.1572,0.4805,0.3143,0.3271,0.7881510724
"191","Numerical Judgment","Congruent","0.034",0.5,0.1674,0.4922,0.3349,0.3401,0.526768204645791
"192","Numerical Judgment","Congruent","0.034",0.5,0.1764,0.49,0.3527,0.3599,0.290968717
"193","Numerical Judgment","Congruent","0.034",0.5,0.1796,0.5002,0.3592,0.3591,0.542959004125747
"194","Numerical Judgment","Congruent","0.034",0.5,0.1836,0.4843,0.3671,0.379,0.795728542810393
"195","Numerical Judgment","Congruent","0.034",0.5,0.1928,0.4956,0.3856,0.3891,0.590346655485287
"196","Numerical Judgment","Congruent","0.034",0.5,0.1933,0.4931,0.3867,0.3921,0.627966221873108
"197","Numerical Judgment","Congruent","0.034",0.5,0.2002,0.4817,0.4003,0.4155,0.603870372742259
"198","Numerical Judgment","Congruent","0.034",0.5,0.2063,0.4776,0.4126,0.432,0.43080960141247
"199","Numerical Judgment","Congruent","0.034",0.5,0.2097,0.4878,0.4195,0.4299,0.33593370725
"200","Numerical Judgment","Congruent","0.034",0.5,0.2157,0.4924,0.4314,0.438,0.3203393745
"201","Numerical Judgment","Congruent","0.034",0.5,0.22,0.4937,0.4399,0.4455,0.316055769582682
"202","Numerical Judgment","Congruent","0.034",0.5,0.2231,0.4988,0.4462,0.4473,0.482202729864486
"203","Numerical Judgment","Congruent","0.034",0.5,0.2264,0.4854,0.4529,0.4665,0.610371547974226
"204","Numerical Judgment","Congruent","0.034",0.5,0.231,0.4795,0.462,0.4818,0.2962555986
"205","Numerical Judgment","Congruent","0.034",0.5,0.2628,0.4939,0.5256,0.5321,0.2340280165
"206","Numerical Judgment","Congruent","0.034",0.5,0.2751,0.496,0.5502,0.5546,0.324936769791703
"207","Numerical Judgment","Congruent","0.034",0.5,0.2891,0.4876,0.5782,0.5929,0.319728900218214
"208","Numerical Judgment","Congruent","0.034",0.5,0.2943,0.4861,0.5885,0.6054,0.247789382666667
"209","Numerical Judgment","Congruent","0.034",0.5,0.2976,0.5007,0.5952,0.5944,0.788715072092309
"210","Numerical Judgment","Congruent","0.034",0.5,0.4456,0.499,0.8912,0.893,0.339326242168892
"211","Numerical Judgment","Congruent","0.034",0.5,0.4863,0.4982,0.9725,0.976,0.574712667912109
"212","Numerical Judgment","Congruent","0.034",0.5,0.5463,0.4871,0.9152,0.8916,0.301645749449445
"213","Numerical Judgment","Congruent","0.034",0.5,1.6648,0.489,0.8324,0.814,0.6721873432192
"214","Numerical Judgment","Congruent","0.034",0.5,2.1137,0.4946,0.9462,0.9566,0.463125286983231
"215","Numerical Judgment","Congruent","0.034",0.5,2.3569,0.4976,0.8486,0.8526,0.499462716
"216","Numerical Judgment","Congruent","0.034",0.5,3.233,0.4942,0.6186,0.6259,0.4310515851858
"217","Numerical Judgment","Congruent","0.034",0.5,3.3684,0.4965,0.5938,0.598,0.346517350324986
"218","Numerical Judgment","Congruent","0.034",0.5,3.5199,0.4837,0.5682,0.5874,0.496145174164699
"219","Numerical Judgment","Congruent","0.034",0.5,3.7265,0.5159,0.5367,0.5202,0.545683086981946
"220","Numerical Judgment","Congruent","0.034",0.5,3.7589,0.4797,0.5321,0.5546,0.483612827408823
"221","Numerical Judgment","Congruent","0.034",0.5,3.7682,0.5074,0.5308,0.523,0.51598173626811
"222","Numerical Judgment","Congruent","0.034",0.5,3.8435,0.4889,0.5204,0.5321,0.487649436339174
"223","Numerical Judgment","Congruent","0.034",0.5,3.8672,0.4943,0.5172,0.5231,0.521550581239824
"224","Numerical Judgment","Congruent","0.034",0.5,4.1676,0.479,0.4799,0.5009,0.769029383192622
"225","Numerical Judgment","Congruent","0.034",0.5,4.3337,0.4954,0.4615,0.4658,0.603775278467134
"226","Numerical Judgment","Congruent","0.034",0.5,4.3515,0.5051,0.4596,0.455,0.4608603549779
"227","Numerical Judgment","Congruent","0.034",0.5,4.4278,0.4929,0.4517,0.4582,0.495765277505488
"228","Numerical Judgment","Congruent","0.034",0.5,5.1029,0.4866,0.3919,0.4027,0.419449189941429
"229","Numerical Judgment","Congruent","0.034",0.5,5.1365,0.496,0.3894,0.3925,0.382505984850409
"230","Numerical Judgment","Congruent","0.034",0.5,5.1397,0.4865,0.3891,0.3999,0.72925100625528
"231","Numerical Judgment","Congruent","0.034",0.5,5.1433,0.49,0.3889,0.3968,0.589054806516013
"232","Numerical Judgment","Congruent","0.034",0.5,5.1985,0.4881,0.3847,0.3941,0.392250587059375
"233","Numerical Judgment","Congruent","0.034",0.5,5.38,0.4998,0.3717,0.3719,0.603805989507131
"234","Numerical Judgment","Congruent","0.034",0.5,5.5582,0.4747,0.3598,0.379,0.510673794947173
"235","Numerical Judgment","Congruent","0.034",0.5,6.4157,0.4802,0.3117,0.3246,0.459291137
"236","Numerical Judgment","Congruent","0.034",0.5,7.9587,0.4803,0.2513,0.2616,0.374739669242475
"237","Numerical Judgment","Congruent","0.034",0.5,9.1486,0.476,0.2186,0.2296,0.534052520244847
"238","Numerical Judgment","Congruent","0.034",0.6,0.1294,0.5772,0.2156,0.2241,0.466260183842141
"239","Numerical Judgment","Congruent","0.034",0.6,0.1664,0.5719,0.2774,0.291,0.359725675322226
"240","Numerical Judgment","Congruent","0.034",0.6,0.2188,0.5821,0.3647,0.3759,0.256543156
"241","Numerical Judgment","Congruent","0.034",0.6,0.2454,0.5861,0.409,0.4187,0.375649057832203
"242","Numerical Judgment","Congruent","0.034",0.6,0.2775,0.5826,0.4625,0.4763,0.436559914199165
"243","Numerical Judgment","Congruent","0.034",0.6,0.2901,0.5829,0.4836,0.4977,0.441747639924476
"244","Numerical Judgment","Congruent","0.034",0.6,0.2904,0.5918,0.484,0.4908,0.430110195680229
"245","Numerical Judgment","Congruent","0.034",0.6,0.2975,0.5806,0.4958,0.5124,0.623239395326987
"246","Numerical Judgment","Congruent","0.034",0.6,0.309,0.5891,0.5149,0.5245,0.462411445783802
"247","Numerical Judgment","Congruent","0.034",0.6,0.3185,0.6001,0.5308,0.5307,0.327325571222958
"248","Numerical Judgment","Congruent","0.034",0.6,0.3224,0.5802,0.5374,0.5557,0.40313384005586
"249","Numerical Judgment","Congruent","0.034",0.6,0.3245,0.5875,0.5408,0.5524,0.361496397053258
"250","Numerical Judgment","Congruent","0.034",0.6,0.3264,0.578,0.544,0.5646,0.571404404942274
"251","Numerical Judgment","Congruent","0.034",0.6,0.3313,0.5976,0.5522,0.5544,0.353869376309088
"252","Numerical Judgment","Congruent","0.034",0.6,0.3412,0.5973,0.5687,0.5713,0.666337114854954
"253","Numerical Judgment","Congruent","0.034",0.6,0.38,0.5842,0.6334,0.6505,0.538346808
"254","Numerical Judgment","Congruent","0.034",0.6,0.4009,0.5851,0.6682,0.6853,0.390523551286072
"255","Numerical Judgment","Congruent","0.034",0.6,0.4215,0.5893,0.7026,0.7154,0.472883330784142
"256","Numerical Judgment","Congruent","0.034",0.6,0.4308,0.5917,0.7181,0.7281,0.2368406345
"257","Numerical Judgment","Congruent","0.034",0.6,0.442,0.582,0.7366,0.7594,0.477495091666667
"258","Numerical Judgment","Congruent","0.034",0.6,0.4503,0.5859,0.7504,0.7685,0.752328083247986
"259","Numerical Judgment","Congruent","0.034",0.6,0.6178,0.5841,0.9712,0.9455,0.390109460904268
"260","Numerical Judgment","Congruent","0.034",0.6,0.6957,0.5761,0.8624,0.828,0.858751325747863
"261","Numerical Judgment","Congruent","0.034",0.6,0.9595,0.5923,0.6253,0.6174,0.705280810523056
"262","Numerical Judgment","Congruent","0.034",0.6,1.1126,0.5861,0.6675,0.6521,0.559513118257733
"263","Numerical Judgment","Congruent","0.034",0.6,1.4184,0.6267,0.423,0.4418,0.374599464872044
"264","Numerical Judgment","Congruent","0.034",0.6,1.5062,0.5929,0.9037,0.893,1.07172993855897
"265","Numerical Judgment","Congruent","0.034",0.6,2.2583,0.5775,0.738,0.7667,0.377036994130439
"266","Numerical Judgment","Congruent","0.034",0.6,2.4527,0.5827,0.6795,0.6997,0.362052150537229
