"","task_Type","Congruency","num_ratio","CH_Ratio","Density_Ratio","Surface_Ratio","ADS_Ratio","present_time","seen"
"152","Numerical judgment","Congruent","0.5",0.4611,0.2194,0.1012,0.2024,0.5,1
"153","Numerical judgment","Congruent","0.5",0.4628,0.2172,0.1005,0.201,0.017,0.5
"154","Numerical judgment","Congruent","0.5",0.4628,0.2172,0.1005,0.201,0.034,0.625
"155","Numerical judgment","Congruent","0.5",0.4628,0.2172,0.1005,0.201,0.1,1
"156","Numerical judgment","Congruent","0.5",0.4628,0.2172,0.1005,0.201,0.5,1
"157","Numerical judgment","Congruent","0.5",0.4669,0.2145,0.1002,0.2003,0.017,0.142857142857143
"158","Numerical judgment","Congruent","0.5",0.4669,0.2145,0.1002,0.2003,0.034,0.454545454545455
"159","Numerical judgment","Congruent","0.5",0.4669,0.2145,0.1002,0.2003,0.1,0.833333333333333
"160","Numerical judgment","Congruent","0.5",0.4669,0.2145,0.1002,0.2003,0.5,0.666666666666667
"161","Numerical judgment","Congruent","0.5",0.4672,0.2148,0.1004,0.2007,0.017,0.181818181818182
"162","Numerical judgment","Congruent","0.5",0.4672,0.2148,0.1004,0.2007,0.034,0.6
"163","Numerical judgment","Congruent","0.5",0.4672,0.2148,0.1004,0.2007,0.1,0.8
"164","Numerical judgment","Congruent","0.5",0.4672,0.2148,0.1004,0.2007,0.5,1
"165","Numerical judgment","Congruent","0.5",0.4674,0.2165,0.1012,0.2024,0.017,0.125
"166","Numerical judgment","Congruent","0.5",0.4674,0.2165,0.1012,0.2024,0.034,0.571428571428571
"167","Numerical judgment","Congruent","0.5",0.4674,0.2165,0.1012,0.2024,0.1,1
"168","Numerical judgment","Congruent","0.5",0.4674,0.2165,0.1012,0.2024,0.5,0.9
"169","Numerical judgment","Congruent","0.5",0.4675,0.2147,0.1004,0.2008,0.017,0.3
"170","Numerical judgment","Congruent","0.5",0.4675,0.2147,0.1004,0.2008,0.034,0.571428571428571
"171","Numerical judgment","Congruent","0.5",0.4675,0.2147,0.1004,0.2008,0.1,1
"172","Numerical judgment","Congruent","0.5",0.4675,0.2147,0.1004,0.2008,0.5,1
"173","Numerical judgment","Congruent","0.5",0.468,0.2134,0.0999,0.1998,0.017,0.307692307692308
"174","Numerical judgment","Congruent","0.5",0.468,0.2134,0.0999,0.1998,0.034,0.75
"175","Numerical judgment","Congruent","0.5",0.468,0.2134,0.0999,0.1998,0.1,1
"176","Numerical judgment","Congruent","0.5",0.468,0.2134,0.0999,0.1998,0.5,1
"177","Numerical judgment","Congruent","0.5",0.4685,0.2132,0.0999,0.1998,0.017,0.111111111111111
"178","Numerical judgment","Congruent","0.5",0.4685,0.2132,0.0999,0.1998,0.034,0.5
"179","Numerical judgment","Congruent","0.5",0.4685,0.2132,0.0999,0.1998,0.1,0.923076923076923
"180","Numerical judgment","Congruent","0.5",0.4685,0.2132,0.0999,0.1998,0.5,1
"181","Numerical judgment","Congruent","0.5",0.4685,0.2157,0.1011,0.2021,0.017,0.333333333333333
"182","Numerical judgment","Congruent","0.5",0.4685,0.2157,0.1011,0.2021,0.034,0.272727272727273
"183","Numerical judgment","Congruent","0.5",0.4685,0.2157,0.1011,0.2021,0.1,0.6
"184","Numerical judgment","Congruent","0.5",0.4685,0.2157,0.1011,0.2021,0.5,0.909090909090909
"185","Numerical judgment","Congruent","0.5",0.4759,0.2118,0.1008,0.2016,0.017,0.25
"186","Numerical judgment","Congruent","0.5",0.4759,0.2118,0.1008,0.2016,0.034,0.666666666666667
"187","Numerical judgment","Congruent","0.5",0.4759,0.2118,0.1008,0.2016,0.1,0.916666666666667
"188","Numerical judgment","Congruent","0.5",0.4759,0.2118,0.1008,0.2016,0.5,1
"189","Numerical judgment","Congruent","0.5",0.4773,0.2114,0.1009,0.2018,0.017,0.333333333333333
"190","Numerical judgment","Congruent","0.5",0.4773,0.2114,0.1009,0.2018,0.034,0.545454545454545
"191","Numerical judgment","Congruent","0.5",0.4773,0.2114,0.1009,0.2018,0.1,0.888888888888889
"192","Numerical judgment","Congruent","0.5",0.4773,0.2114,0.1009,0.2018,0.5,1
"193","Numerical judgment","Congruent","0.5",0.4903,0.2054,0.1007,0.2014,0.017,0.428571428571429
"194","Numerical judgment","Congruent","0.5",0.4903,0.2054,0.1007,0.2014,0.034,0.5
"195","Numerical judgment","Congruent","0.5",0.4903,0.2054,0.1007,0.2014,0.1,0.882352941176471
"196","Numerical judgment","Congruent","0.5",0.4903,0.2054,0.1007,0.2014,0.5,1
"197","Numerical judgment","Congruent","0.6",0.5102,0.2364,0.1206,0.201,0.017,0.25
"198","Numerical judgment","Congruent","0.6",0.5102,0.2364,0.1206,0.201,0.034,0.666666666666667
"199","Numerical judgment","Congruent","0.6",0.5102,0.2364,0.1206,0.201,0.1,1
"200","Numerical judgment","Congruent","0.6",0.5102,0.2364,0.1206,0.201,0.5,1
"201","Numerical judgment","Congruent","0.6",0.5114,0.2336,0.1195,0.1991,0.017,0.615384615384615
"202","Numerical judgment","Congruent","0.6",0.5114,0.2336,0.1195,0.1991,0.034,0.666666666666667
"203","Numerical judgment","Congruent","0.6",0.5114,0.2336,0.1195,0.1991,0.1,0.714285714285714
"204","Numerical judgment","Congruent","0.6",0.5114,0.2336,0.1195,0.1991,0.5,1
"205","Numerical judgment","Congruent","0.6",0.5142,0.2338,0.1202,0.2003,0.017,0.125
"206","Numerical judgment","Congruent","0.6",0.5142,0.2338,0.1202,0.2003,0.034,0.333333333333333
"207","Numerical judgment","Congruent","0.6",0.5142,0.2338,0.1202,0.2003,0.1,0.909090909090909
"208","Numerical judgment","Congruent","0.6",0.5142,0.2338,0.1202,0.2003,0.5,1
"209","Numerical judgment","Congruent","0.6",0.5177,0.2325,0.1204,0.2006,0.017,0.714285714285714
"210","Numerical judgment","Congruent","0.6",0.5177,0.2325,0.1204,0.2006,0.034,0.636363636363636
"211","Numerical judgment","Congruent","0.6",0.5177,0.2325,0.1204,0.2006,0.1,1
"212","Numerical judgment","Congruent","0.6",0.5177,0.2325,0.1204,0.2006,0.5,1
"213","Numerical judgment","Congruent","0.6",0.5242,0.2295,0.1203,0.2005,0.017,0.428571428571429
"214","Numerical judgment","Congruent","0.6",0.5242,0.2295,0.1203,0.2005,0.034,0.25
"215","Numerical judgment","Congruent","0.6",0.5242,0.2295,0.1203,0.2005,0.1,0.857142857142857
"216","Numerical judgment","Congruent","0.6",0.5242,0.2295,0.1203,0.2005,0.5,0.8
"217","Numerical judgment","Congruent","0.6",0.5303,0.2267,0.1203,0.2004,0.017,0.666666666666667
"218","Numerical judgment","Congruent","0.6",0.5303,0.2267,0.1203,0.2004,0.034,0.545454545454545
"219","Numerical judgment","Congruent","0.6",0.5303,0.2267,0.1203,0.2004,0.1,0.909090909090909
"220","Numerical judgment","Congruent","0.6",0.5303,0.2267,0.1203,0.2004,0.5,1
"221","Numerical judgment","Congruent","0.6",0.5338,0.2262,0.1207,0.2012,0.017,0.333333333333333
"222","Numerical judgment","Congruent","0.6",0.5338,0.2262,0.1207,0.2012,0.034,0.333333333333333
"223","Numerical judgment","Congruent","0.6",0.5338,0.2262,0.1207,0.2012,0.1,1
"224","Numerical judgment","Congruent","0.6",0.5338,0.2262,0.1207,0.2012,0.5,1
"225","Numerical judgment","Congruent","0.6",0.5354,0.2251,0.1205,0.2009,0.017,0.3
"226","Numerical judgment","Congruent","0.6",0.5354,0.2251,0.1205,0.2009,0.034,0.666666666666667
"227","Numerical judgment","Congruent","0.6",0.5354,0.2251,0.1205,0.2009,0.1,0.923076923076923
"228","Numerical judgment","Congruent","0.6",0.5354,0.2251,0.1205,0.2009,0.5,0.857142857142857
"229","Numerical judgment","Congruent","0.6",0.5355,0.2263,0.1212,0.202,0.017,0.272727272727273
"230","Numerical judgment","Congruent","0.6",0.5355,0.2263,0.1212,0.202,0.034,0.666666666666667
"231","Numerical judgment","Congruent","0.6",0.5355,0.2263,0.1212,0.202,0.1,0.8
"232","Numerical judgment","Congruent","0.6",0.5355,0.2263,0.1212,0.202,0.5,1
"233","Numerical judgment","Congruent","0.6",0.5375,0.2251,0.121,0.2017,0.017,0.5
"234","Numerical judgment","Congruent","0.6",0.5375,0.2251,0.121,0.2017,0.034,0.75
"235","Numerical judgment","Congruent","0.6",0.5375,0.2251,0.121,0.2017,0.1,0.888888888888889
"236","Numerical judgment","Congruent","0.6",0.5375,0.2251,0.121,0.2017,0.5,1
"237","Numerical judgment","Congruent","0.6",0.5398,0.2237,0.1208,0.2013,0.017,0.714285714285714
"238","Numerical judgment","Congruent","0.6",0.5398,0.2237,0.1208,0.2013,0.034,0.5
"239","Numerical judgment","Congruent","0.6",0.5398,0.2237,0.1208,0.2013,0.1,0.875
"240","Numerical judgment","Congruent","0.6",0.5398,0.2237,0.1208,0.2013,0.5,1
"241","Numerical judgment","Congruent","0.6",0.5405,0.2235,0.1208,0.2013,0.017,0.25
"242","Numerical judgment","Congruent","0.6",0.5405,0.2235,0.1208,0.2013,0.034,0.636363636363636
"243","Numerical judgment","Congruent","0.6",0.5405,0.2235,0.1208,0.2013,0.1,1
"244","Numerical judgment","Congruent","0.6",0.5405,0.2235,0.1208,0.2013,0.5,1
"245","Numerical judgment","Congruent","0.6",0.5432,0.223,0.1212,0.2019,0.017,0.166666666666667
"246","Numerical judgment","Congruent","0.6",0.5432,0.223,0.1212,0.2019,0.034,0.5
"247","Numerical judgment","Congruent","0.6",0.5432,0.223,0.1212,0.2019,0.1,1
"248","Numerical judgment","Congruent","0.6",0.5432,0.223,0.1212,0.2019,0.5,1
"249","Numerical judgment","Congruent","0.6",0.5454,0.221,0.1205,0.2009,0.017,0.333333333333333
"250","Numerical judgment","Congruent","0.6",0.5454,0.221,0.1205,0.2009,0.034,0.555555555555556
"251","Numerical judgment","Congruent","0.6",0.5454,0.221,0.1205,0.2009,0.1,1
"252","Numerical judgment","Congruent","0.6",0.5454,0.221,0.1205,0.2009,0.5,1
"253","Numerical judgment","Congruent","0.6",0.5455,0.2204,0.1202,0.2004,0.017,0
"254","Numerical judgment","Congruent","0.6",0.5455,0.2204,0.1202,0.2004,0.034,0.833333333333333
"255","Numerical judgment","Congruent","0.6",0.5455,0.2204,0.1202,0.2004,0.1,0.875
